ganloss 91 tf.Tensor(-0.52020764, shape=(), dtype=float32)
ganloss 92 tf.Tensor(-0.5200729, shape=(), dtype=float32)
ganloss 93 tf.Tensor(-0.516979, shape=(), dtype=float32)
ganloss 94 tf.Tensor(-0.51527804, shape=(), dtype=float32)
ganloss 95 tf.Tensor(-0.51617527, shape=(), dtype=float32)
ganloss 96 tf.Tensor(-0.51319927, shape=(), dtype=float32)
ganloss 97 tf.Tensor(-0.51303595, shape=(), dtype=float32)
ganloss 98 tf.Tensor(-0.511065, shape=(), dtype=float32)
ganloss 99 tf.Tensor(-0.512377, shape=(), dtype=float32)
ganloss 100 tf.Tensor(-0.51371753, shape=(), dtype=float32)
ganloss 101 tf.Tensor(-0.51413125, shape=(), dtype=float32)
ganloss 102 tf.Tensor(-0.51650864, shape=(), dtype=float32)
ganloss 103 tf.Tensor(-0.5205728, shape=(), dtype=float32)
ganloss 104 tf.Tensor(-0.5193239, shape=(), dtype=float32)
ganloss 105 tf.Tensor(-0.5236521, shape=(), dtype=float32)
ganloss 106 tf.Tensor(-0.5292971, shape=(), dtype=float32)
ganloss 107 tf.Tensor(-0.5310001, shape=(), dtype=float32)
ganloss 108 tf.Tensor(-0.5283969, shape=(), dtype=float32)
ganloss 109 tf.Tensor(-0.5335049, shape=(), dtype=float32)
ganloss 110 tf.Tensor(-0.53653246, shape=(), dtype=float32)
ganloss 111 tf.Tensor(-0.54108226, shape=(), dtype=float32)
ganloss 112 tf.Tensor(-0.54727525, shape=(), dtype=float32)
ganloss 113 tf.Tensor(-0.5469966, shape=(), dtype=float32)
ganloss 114 tf.Tensor(-0.5477998, shape=(), dtype=float32)
ganloss 115 tf.Tensor(-0.55037916, shape=(), dtype=float32)
ganloss 116 tf.Tensor(-0.555188, shape=(), dtype=float32)
ganloss 117 tf.Tensor(-0.5593894, shape=(), dtype=float32)
ganloss 118 tf.Tensor(-0.56433207, shape=(), dtype=float32)
ganloss 119 tf.Tensor(-0.55625504, shape=(), dtype=float32)
ganloss 120 tf.Tensor(-0.5727031, shape=(), dtype=float32)
ganloss 121 tf.Tensor(-0.56385386, shape=(), dtype=float32)
ganloss 122 tf.Tensor(-0.5752105, shape=(), dtype=float32)
ganloss 123 tf.Tensor(-0.57230425, shape=(), dtype=float32)
ganloss 124 tf.Tensor(-0.57425743, shape=(), dtype=float32)
ganloss 125 tf.Tensor(-0.5815627, shape=(), dtype=float32)
ganloss 126 tf.Tensor(-0.57768905, shape=(), dtype=float32)
ganloss 127 tf.Tensor(-0.59024847, shape=(), dtype=float32)
ganloss 128 tf.Tensor(-0.5894557, shape=(), dtype=float32)
ganloss 129 tf.Tensor(-0.59706753, shape=(), dtype=float32)
ganloss 130 tf.Tensor(-0.6065532, shape=(), dtype=float32)
